Movie Title,IMDB Ratings,IMDB Voted,OTT,BMS Ratings,BMS Tickets,Run Time In Min,Year,Director,Cast,Release Date,Genre
Dude,6.3,7200,Netflix,7.8,73000,139,2025,Keethiswaran,"Pradeep Ranganathan, Mamitha Baiju","Oct 17, 2025",Comedy Drama
K-Ramp,7.2,1300,aha,8.9,24000,140,2025,Jains Nani,"Kiran Abbavaram, Yukti Thareja","Oct 18, 2025",Action / Drama
Mass Jathara,4.4,635,Netflix,7.9,14500,145,2025,Bhanu Bhogavarapu,"Ravi Teja, Sreeleela","Oct 31, 2025",Action Drama
Baahubali: The Epic,8.6,1200,JioHotstar,9.6,56000,225,2025,SS Rajamouli,"Prabhas, Rana Daggubati, Anushka","Oct 31, 2025",Animated Fantasy
Jatadhara,3.8,1300,Amazon,7.3,2700,135,2025,Abhishek Jaiswal,"Sudheer Babu, Divya Khossla","Nov 07, 2025",Devotional / Drama
The Girlfriend,7,7200,Netflix,8.6,21600,138,2025,Rahul Ravindran,"Rashmika Mandanna, Dheekshith Shetty","Nov 07, 2025",Romantic Drama
The Great Pre-Wedding Show,7.8,2500,ZEE5,9.2,2700,116,2025,Rahul Srinivas,"Thiruveer Reddy, Tinu Shravya","Nov 07, 2025",Comedy Drama
Kaantha,8.2,6300,Netflix,8.1,19000,163,2025,Selvamani Selvaraj,"Dulquer Salmaan, Bhagyashri Borse","Nov 14, 2025",Period Drama
Santhana Prapthirasthu,8.1,4100,NA,9.5,750,139,2025,Sanjeev Reddy,"Vijay Narayana, Sanjeev Reddy","Nov 14, 2025",Family Entertainer
Raju Weds Rambai,6.1,134,ETVWin,9,15600,135,2025,Saailu Kampati,"Akhil Uddemari, Tejaswini Rao","Nov 21, 2025",Romantic Comedy
Andhra King Taluka,7.3,1200,Netflix,8.9,27300,166,2025,Mahesh Babu P,"Ram Pothineni, Bhagyasri Borse","Nov 27, 2025",Political Action
